rank,tier,name,team,position,byeWeek,strengthOfSchedule,drop,pointsAboveProjection,gamesAboveProjection
292,12,Greg Joseph,MIN,K23,7,-,-24,+1.7,62% (10/16)
293,12,New York Giants,NYG,DST25,9,-,+28,-0.6,31% (5/16)
294,12,Randy Bullock,TEN,K24,6,-,+84,+0.6,60% (9/15)
295,12,Cairo Santos,CHI,K25,14,-,+50,-0.2,50% (8/16)
296,12,Seattle Seahawks,SEA,DST26,11,-,+8,-0.7,31% (5/16)
297,12,Kyle Rudolph,TB,TE35,11,-,-87,0.0,46% (7/15)
298,12,Josh Reynolds,DET,WR100,6, 4.6,-,-0.1,38% (5/13)
299,12,Tre'Quan Smith,NO,WR101,14, 7.6,+69,-2.0,40% (4/10)
300,12,New York Jets,NYJ,DST27,10,-,+10,-2.1,25% (4/16)
301,12,Quez Watkins,PHI,WR102,7, 8.0,+13,-0.7,43% (7/16)
302,12,Ka'imi Fairbairn,HOU,K26,6,-,-,-1.6,28% (4/14)
303,12,Drew Lock,SEA,QB32,11, 4.0,-12,-0.5,20% (3/15)
304,12,Joshua Kelley,LAC,RB82,8, 3.6,+44,-1.0,30% (3/10)
305,13,Kenny Pickett,PIT,QB33,9, 4.4,-71,-,-
307,13,Darius Slayton,NYG,WR103,9, 6.0,-,-3.3,25% (3/12)
308,13,Chris Evans,CIN,RB84,10, 4.0,-59,0.0,38% (5/13)
310,13,Jimmy Garoppolo,SF,QB34,9, 3.8,-83,-0.5,28% (4/14)
311,13,Jacksonville Jaguars,JAC,DST28,11,-,-,-2.3,18% (3/16)
314,13,Velus Jones Jr.,CHI,WR105,14, 4.6,-22,-,-
315,13,Emmanuel Sanders,FA,WR106,-, 4.8,+26,-2.1,21% (3/14)
316,13,Jalen Reagor,PHI,WR107,7, 7.2,-,-2.5,18% (3/16)
317,13,Ty Johnson,NYJ,RB86,10, 6.2,+63,+0.4,40% (6/15)
318,13,Justin Jackson,DET,RB87,6,-,-,+1.3,61% (8/13)
